Quantifier             Metric             selectedModel                                               nAr*             r             R             Psi             Cd
deltaDistance           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAcc_bdb.npz           0.1091           1.5           1.3398           3.9181           0.1326
masterFace           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0499           2.25           1.201           3.4709           0.3527
swipeQuality           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0375           2.0           1.1077           3.3458           0.3527
dgbqa           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAcc_bdb.npz           0.1108           1.5           1.4058           4.0431           0.1326
deltaDistance           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAcc_bdb.npz           0.1091           1.5           1.3398           3.9181           0.1326
masterFace           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0499           2.25           1.201           3.4709           0.3527
swipeQuality           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0375           2.0           1.1077           3.3458           0.3527
dgbqa           NegRel           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.0465           2.0           1.6392           4.2435           0.2075
deltaDistance           NegRel           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           NegRel           idf_vanilla_bdLSTM_1-1-pt1_sensorAcc_bdb.npz           0.0162           2.0           -0.3428           6.6368           0.2019
genCapacity           NegRel           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           NegRel           idf_vanilla_bdLSTM_1-1-1_sensorAcc_bdb.npz           0.0456           2.0           0.9999           3.3133           0.1243
dgbqa           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAcc_bdb.npz           0.1108           1.5           1.4058           4.0431           0.1326
deltaDistance           RPP           idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorAcc_bdb.npz           0.0961           1.5           1.7871           3.9966           0.2984
masterFace           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           RPP           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           RPP           idf_vanilla_bdLSTM_1-1-1pt5_sensorAcc_bdb.npz           0.053           2.0           0.9635           3.3844           0.1221
dgbqa           relEnt           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.0465           2.0           1.6392           4.2435           0.2075
deltaDistance           relEnt           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           relEnt           idf_vanilla_bdLSTM_1-pt5-pt1_sensorAcc_bdb.npz           0.0145           2.0           -0.0984           6.9413           0.2043
genCapacity           relEnt           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorAcc_bdb.npz           0.0605           2.25           1.201           3.4709           0.0972
swipeQuality           relEnt           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
